;调用文件	地图	X	Y	人物姓名	方向	代码	属于城堡	自动移动 	移动间隔	变色模式	变色间隔	颜色固定
;比奇城												
比奇城/屠夫	0102	9	7	屠夫	0	11	0	0	0	0	0	1
比奇城/屠夫	0	313	271	屠夫	0	11	0	0	0	0	0	1
比奇城/卫家店	0103	19	18	卫家店	0	1	0	0	0	0	0	1
比奇城/修理师	0	302	219	修理师	0	0	0	0	0	0	0	1
比奇城/安家布衣	0106	19	6	安家布衣	0	7	0	0	0	0	0	1
比奇城/赖家店	0108	7	7	赖家店老板	0	1	0	0	0	0	0	1
比奇城/夏家店	0	324	291	夏家店老板	0	5	0	0	0	0	0	1
;比奇城/杳水	0109	4	8	杳水店老板	0	9	0	0	0	0	0	1
比奇城/陈家铺子	0104	5	8	陈家铺子老板	0	2	0	0	0	0	0	1
比奇城/书店	0	325	250	书店老板	0	2	0	0	0	0	0	1
比奇城/麦家铺子	0125	8	6	麦家铺子	0	9	0	0	0	0	0	1
比奇城/仓库	0	301	257	仓库保管员	0	9	0	0	0	0	0	1
比奇城/杂货铺	0	378	298	杂货铺老板	0	3	0	0	0	0	0	1
比奇城/戒指店	0105	18	6	戒指店老板	0	4	0	0	0	0	0	1
比奇城/手镯店	0105	12	12	手镯店老板	0	5	0	0	0	0	0	1
比奇城/项链店	0105	6	18	项链店老板	0	6	0	0	0	0	0	1
比奇城/老兵	0	326	261	比奇老兵	0	1	0	0	0	0	0	1
比奇城/网络文明	0	323	261	网络文明宣传	0	6	0	0	0	0	0	1
;比奇城/商人	0126	10	10	商人	0	9	0	0	0	0	0	1
												
;银杏村												
比奇银杏村/许家店	0119	10	11	许家店	0	1	0	0	0	0	0	1
;比奇银杏村/药房	0119	14	14	药房小老板	0	9	0	0	0	0	0	1
比奇银杏村/陈家铺	0	643	611	陈家铺老板	0	3	0	0	0	0	0	1
比奇银杏村/精武馆	0	649	602	精武馆老板	0	0	0	0	0	0	0	1
比奇银杏村/高家店	0	643	601	高家店老板	0	7	0	0	0	0	0	1
比奇银杏村/屠夫	0	649	591	屠夫	0	11	0	0	0	0	0	1
比奇银杏村/廖家店	0	621	642	廖家店老板	0	6	0	0	0	0	0	1
;比奇银杏村/英雄特使	0	633	611	英雄特使	0	15	0	0	0	0	0	1
												
;边界村												
比奇边界村/边界村小店	0	291	610	边界村小店老板	0	1	0	0	0	0	0	1
比奇边界村/铁匠铺	0	297	612	铁匠铺老板	0	0	0	0	0	0	0	1
比奇边界村/屠夫	0	293	603	屠夫	0	11	0	0	0	0	0	1
比奇边界村/白家服装	0	305	607	白家服装老板	0	7	0	0	0	0	0	1
比奇边界村/书店	0132	5	18	书店老板	0	2	0	0	0	0	0	1
比奇边界村/仓库	0140	8	9	仓库保管员	0	9	0	0	0	0	0	1
比奇边界村/戒指店	0141	23	23	戒指店老板	0	4	0	0	0	0	0	1
比奇边界村/手镯店	0141	16	16	手镯店老板	0	5	0	0	0	0	0	1
比奇边界村/项链店	0141	10	10	项链店老板	0	6	0	0	0	0	0	1
;比奇边界村/英雄特使	0	287	615	英雄特使	0	15	0	0	0	0	0	1
												
;比奇郊外												
比奇郊外/高级战士	0114	14	9	高级战士	0	15	0	0	0	0	0	1
比奇郊外/高级道士	0113	7	7	高级道士	0	15	0	0	0	0	0	1
比奇郊外/高级魔法师	0115	5	11	高级魔法师	0	15	0	0	0	0	0	1
												
;沃玛森林												
沃玛森林/白日门勇士	1	54	165	白日门勇士	0	15	0	0	0	0	0	1
沃玛森林/铁匠	1	314	72	铁匠	0	0	0	0	0	0	0	1
沃玛森林/商人	1	309	81	商人	0	4	0	0	0	0	0	1
沃玛森林/老人	1	235	305	老人	0	1	0	0	0	0	0	1
沃玛森林/老人1	1	96	290	老人	0	1	0	0	0	0	0	1
沃玛森林/老人2	1	51	33	老人	0	1	0	0	0	0	0	1
												
;半兽古墓												
半兽古墓/仓库	D002	174	216	仓库保管员	0	3	0	0	0	0	0	1
半兽古墓/不法小贩	DM001	4	6	不法小贩	0	9	0	0	0	0	0	1
												
;天然洞穴												
天然洞穴/不法小贩	DM011	4	6	不法小贩	0	9	0	0	0	0	0	1
												
;毒蛇山谷												
毒蛇山谷/老兵	2	509	483	毒蛇山谷老兵	0	1	0	0	0	0	0	1
毒蛇山谷/朴铁匠	0120	7	8	朴铁匠	0	0	0	0	0	0	0	1
毒蛇山谷/铁匠	2	518	492	铁匠	0	0	0	0	0	0	0	1
毒蛇山谷/薄家药	0117	4	10	薄家药铺老板	0	1	0	0	0	0	0	1
毒蛇山谷/药铺	2	505	497	药铺老板	0	1	0	0	0	0	0	1
毒蛇山谷/罗家铺子	2	505	479	罗家铺子老板	0	3	0	0	0	0	0	1
毒蛇山谷/米家服装	2	517	477	米家服装老板	0	7	0	0	0	0	0	1
毒蛇山谷/仓库	2	510	464	仓库保管员	0	9	0	0	0	0	0	1
;毒蛇山谷/神秘老人	2	515	464	神秘老人	0	9	0	0	0	0	0	1
												
;毒蛇山谷连接通道												
毒蛇山谷连接通道/神秘老人	E603	31	191	神秘老人	0	9	0	0	0	0	0	1
毒蛇山谷连接通道/流浪者	E603	15	195	流浪者	0	3	0	0	0	0	0	1
												
;盟重土城												
盟重土城/老兵	3	325	325	盟重老兵	0	1	0	0	0	0	0	1
盟重土城/张家布衣	0149	23	20	张家布衣老板	0	7	0	0	0	0	0	1
盟重土城/手套店	0149	11	18	手套店老板	0	4	0	0	0	0	0	1
盟重土城/老张头盔店	0149	8	5	老张头盔店	0	5	0	0	0	0	0	1
盟重土城/铁匠铺	0159	5	9	铁匠铺老板	0	0	0	0	0	0	0	1
;盟重土城/炼武器	0159	7	10	武器大师	0	0	0	0	0	0	0	1
盟重土城/罗家铺子	0160	5	8	罗家铺子老板	0	1	0	0	0	0	0	1
盟重土城/戒指店	0158	11	15	戒指店老板	0	5	0	0	0	0	0	1
盟重土城/手镯店	0158	17	9	手镯店老板	0	6	0	0	0	0	0	1
盟重土城/项链店	0158	5	21	项链店老板	0	4	0	0	0	0	0	1
盟重土城/屠夫	3	355	329	屠夫	0	11	0	0	0	0	0	1
盟重土城/药店	3	361	335	药店老板	0	1	0	0	0	0	0	1
盟重土城/书店	0161	11	16	书店老板	0	2	0	0	0	0	0	1
盟重土城/仓库	0145	9	12	仓库保管员	0	9	0	0	0	0	0	1
盟重土城/悦来客栈	3	305	373	悦来客栈	0	4	0	0	0	0	0	1
;盟重土城/商人	0146	4	11	商人	0	9	0	0	0	0	0	1
盟重土城/流浪汉	3	346	334	流浪汉	0	3	0	0	0	0	0	1
盟重土城/修理师	3	343	319	修理师	0	0	0	0	0	0	0	1
盟重土城/国王使臣	3	322	325	国王使臣	0	8	0	0	0	0	0	1
;盟重土城/快速买药	3	322	328	黄药师	0	20	0	0	0	0	0	1
;盟重土城/技能回收	3	322	331	玛法学者	0	2	0	0	0	0	0	1
盟重土城/装备回收	3	322	334	装备回收	0	17	0	0	0	0	0	1
;盟重土城/宝石镶嵌	3	322	337	宝石镶嵌	0	22	0	0	0	0	0	1
;盟重土城/幸运使者	3	322	337	幸运使者	0	22	0	0	0	0	0	1
;盟重土城/经验附魔	3	322	340	经验附魔	0	18	0	0	0	0	0	1
;盟重土城/熔炼防具	3	325	340	防具熔炼	0	15	0	0	0	0	0	1
;盟重土城/熔炼首饰	3	328	340	首饰熔炼	0	15	0	0	0	0	0	1
;盟重土城/熔炼武器	3	331	340	武器熔炼	0	15	0	0	0	0	0	1
盟重土城/天下第一男战士	3	322	321	A0	0	35	0	0	0	0	0	1
盟重土城/天下第一女战士	3	325	321	A1	0	36	0	0	0	0	0	1
盟重土城/天下第一男法师	3	328	321	A2	0	37	0	0	0	0	0	1
盟重土城/天下第一女法师	3	331	321	A3	0	38	0	0	0	0	0	1
盟重土城/天下第一男道士	3	334	321	A4	0	39	0	0	0	0	0	1
盟重土城/天下第一女道士	3	337	321	A5	0	40	0	0	0	0	0	1
												
;沙巴克												
;沙巴克/屠夫	3	659	301	屠夫	0	11	1	0	0	0	0	1
;沙巴克/铁匠铺	new0151	22	37	铁匠铺老板	0	0	1	0	0	0	0	1
