;地图编号	X坐标	Y坐标	怪物名	范围	数量	间隔(分钟)	集中率(0-100)	名字颜色	是否为内功怪物(0,1)	国家ID	怪物能否攻击同国家的人	不同国家的怪物能否相互攻击	怪物能否被同国家的人来攻击			
;范围：范围是以坐标点为中心扩散，例如范围填2，那么就是以刷新坐标点向外扩散2圈，就是5x5格范围。当范围设置超过地图大小时，会造成怪物扎堆在地图边缘的墙边																
;集中率：数值越大，怪物刷新的越集中扎堆，建议填0，平均分布																
																
;------------------------------------------------------------------------------------																
;特殊																
;比奇																
0111	9	9	练功师	0	1	1	0	246	0	0	0	0	0			
0111	5	13	练功师	0	1	1	0	246	0	0	0	0	0			
0111	12	12	练功师	0	1	1	0	246	0	0	0	0	0			
0111	8	16	练功师	0	1	1	0	246	0	0	0	0	0			
																
;白日门馆长屋																
1002	14	13	虎卫	0	1	60	0	246	0	0	0	0	0			
																
;丛林迷宫																
12	190	240	鹰卫	5	1	60	0	246	0	0	0	0	0			
																
;------------------------------------------------------------------------------------																
;弓箭护卫																
;比奇																
;城西																
0	318	244	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
0	300	207	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
0	310	227	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
0	313	230	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
;城南																
0	309	286	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
0	329	289	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
;城东																
0	355	280	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
0	362	301	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
0	374	291	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
;城中																
0	301	319	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
0	321	257	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
0	334	272	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
0	335	309	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
;比奇森林(桥边)																
;西																
0	340	513	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
0	341	514	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
;东																
0	367	487	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
0	368	488	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
;银杏山谷外																
0	567	621	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
0	600	576	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
0	662	558	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
;->毒蛇山谷																
0	665	86	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
0	672	93	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
;->沃玛森林																
0	320	36	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
0	327	42	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
																
;沃玛森林																
;->比奇																
1	566	544	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
1	555	544	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
;->白日门																
1	46	39	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
1	52	33	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
;->封魔谷																
1	51	165	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
1	51	172	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
																
;白日门																
;->沃玛森林																
11	43	480	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
11	49	474	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
;->丛林迷宫																
11	353	246	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
11	357	243	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
																
;丛林迷宫																
;->白日门																
12	327	468	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
12	320	474	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
																
;毒蛇山谷																
2	510	479	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
;->比奇																
2	417	558	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
2	416	559	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
2	423	566	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
2	424	565	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
;->盟重																
2	292	60	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
2	298	65	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
2	552	80	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
2	560	88	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
																
;盟重																
;武器																
3	331	317	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
3	327	313	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
;杂货																
3	348	332	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
;石墓																
3	296	334	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
3	302	340	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
;首饰																
3	305	290	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
3	303	302	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
3	288	305	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
;仓库																
3	302	370	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
;->毒蛇山谷																
3	273	743	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
3	274	744	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
3	512	770	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
3	519	777	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
																
;地牢一层东																
;->连接通道																
D601	13	196	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
D601	7	201	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
																
;连接通道																
;->	地牢一层东															
E605	10	61	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
E605	15	68	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
																
;连接通道																
;->山谷矿区二层																
E601	139	13	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
E601	138	12	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
																
;山谷矿区二层																
;->连接通道																
D422	332	380	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
D422	328	384	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
																
;封魔谷																
4	256	231	恶魔弓箭手	0	1	1	0	246	0	0	0	0	0			
4	251	236	恶魔弓箭手	0	1	1	0	246	0	0	0	0	0			
4	255	230	恶魔弓箭手	0	1	1	0	246	0	0	0	0	0			
4	250	235	恶魔弓箭手	0	1	1	0	246	0	0	0	0	0			
4	254	229	恶魔弓箭手	0	1	1	0	246	0	0	0	0	0			
4	249	234	恶魔弓箭手	0	1	1	0	246	0	0	0	0	0			
4	253	228	恶魔弓箭手	0	1	1	0	246	0	0	0	0	0			
4	248	233	恶魔弓箭手	0	1	1	0	246	0	0	0	0	0			
4	252	227	恶魔弓箭手	0	1	1	0	246	0	0	0	0	0			
4	247	232	恶魔弓箭手	0	1	1	0	246	0	0	0	0	0			
4	257	186	恶魔弓箭手	0	1	1	0	246	0	0	0	0	0			
4	253	183	恶魔弓箭手	0	1	1	0	246	0	0	0	0	0			
4	256	187	恶魔弓箭手	0	1	1	0	246	0	0	0	0	0			
4	252	184	恶魔弓箭手	0	1	1	0	246	0	0	0	0	0			
4	255	188	恶魔弓箭手	0	1	1	0	246	0	0	0	0	0			
4	251	185	恶魔弓箭手	0	1	1	0	246	0	0	0	0	0			
4	254	189	恶魔弓箭手	0	1	1	0	246	0	0	0	0	0			
4	250	186	恶魔弓箭手	0	1	1	0	246	0	0	0	0	0			
4	253	190	恶魔弓箭手	0	1	1	0	246	0	0	0	0	0			
4	249	187	恶魔弓箭手	0	1	1	0	246	0	0	0	0	0			
4	215	193	恶魔弓箭手	0	1	1	0	246	0	0	0	0	0			
4	219	189	恶魔弓箭手	0	1	1	0	246	0	0	0	0	0			
;->沃玛森林																
4	443	184	恶魔弓箭手	0	1	1	0	246	0	0	0	0	0			
4	443	192	恶魔弓箭手	0	1	1	0	246	0	0	0	0	0			
																
;苍月岛																
5	136	336	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
5	131	301	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
5	140	362	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
5	169	352	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
5	164	357	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
5	122	334	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
5	143	324	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
																
;魔龙																
6	118	147	弓箭护卫	0	1	1	0	246	0	0	0	0	0			
																
;------------------------------------------------------------------------------------																
;怪物																
																
;比奇																
0	150	150	半兽人0	55	1	60	0	246	0	0	0	0	0			
0	150	150	森林雪人0	55	1	60	0	246	0	0	0	0	0			
0	150	150	多钩猫0	55	1	60	0	246	0	0	0	0	0			
0	150	150	钉耙猫0	55	1	60	0	246	0	0	0	0	0			
0	150	150	蛤蟆0	55	1	60	0	246	0	0	0	0	0			
0	150	150	稻草人0	55	1	60	0	246	0	0	0	0	0			
																
0	550	150	半兽人0	55	1	60	0	246	0	0	0	0	0			
0	550	150	森林雪人0	55	1	60	0	246	0	0	0	0	0			
0	550	150	多钩猫0	55	1	60	0	246	0	0	0	0	0			
0	550	150	钉耙猫0	55	1	60	0	246	0	0	0	0	0			
0	550	150	蛤蟆0	55	1	60	0	246	0	0	0	0	0			
0	550	150	稻草人0	55	1	60	0	246	0	0	0	0	0			
																
0	150	350	半兽人0	55	1	60	0	246	0	0	0	0	0			
0	150	350	森林雪人0	55	1	60	0	246	0	0	0	0	0			
0	150	350	多钩猫0	55	1	60	0	246	0	0	0	0	0			
0	150	350	钉耙猫0	55	1	60	0	246	0	0	0	0	0			
0	150	350	蛤蟆0	55	1	60	0	246	0	0	0	0	0			
0	150	350	稻草人0	55	1	60	0	246	0	0	0	0	0			
																
0	550	350	半兽人0	55	1	60	0	246	0	0	0	0	0			
0	550	350	森林雪人0	55	1	60	0	246	0	0	0	0	0			
0	550	350	多钩猫0	55	1	60	0	246	0	0	0	0	0			
0	550	350	钉耙猫0	55	1	60	0	246	0	0	0	0	0			
0	550	350	蛤蟆0	55	1	60	0	246	0	0	0	0	0			
0	550	350	稻草人0	55	1	60	0	246	0	0	0	0	0			
																
0	150	460	半兽人0	55	1	60	0	246	0	0	0	0	0			
0	150	460	森林雪人0	55	1	60	0	246	0	0	0	0	0			
0	150	460	多钩猫0	55	1	60	0	246	0	0	0	0	0			
0	150	460	钉耙猫0	55	1	60	0	246	0	0	0	0	0			
0	150	460	蛤蟆0	55	1	60	0	246	0	0	0	0	0			
0	150	460	稻草人0	55	1	60	0	246	0	0	0	0	0			
																
0	550	460	半兽人0	55	1	60	0	246	0	0	0	0	0			
0	550	460	森林雪人0	55	1	60	0	246	0	0	0	0	0			
0	550	460	多钩猫0	55	1	60	0	246	0	0	0	0	0			
0	550	460	钉耙猫0	55	1	60	0	246	0	0	0	0	0			
0	550	460	蛤蟆0	55	1	60	0	246	0	0	0	0	0			
0	550	460	稻草人0	55	1	60	0	246	0	0	0	0	0			
																
0	100	100	半兽人	55	4	20	0	246	0	0	0	0	0			
0	100	100	食人花	55	4	20	0	246	0	0	0	0	0			
0	100	100	森林雪人	55	4	20	0	246	0	0	0	0	0			
0	100	100	毒蜘蛛	55	4	20	0	246	0	0	0	0	0			
0	100	100	多钩猫	55	4	20	0	246	0	0	0	0	0			
0	100	100	钉耙猫	55	4	20	0	246	0	0	0	0	0			
0	100	100	蛤蟆	55	4	20	0	246	0	0	0	0	0			
0	100	100	稻草人	55	4	20	0	246	0	0	0	0	0			
0	200	100	半兽人	55	4	20	0	246	0	0	0	0	0			
0	200	100	食人花	55	4	20	0	246	0	0	0	0	0			
0	200	100	森林雪人	55	4	20	0	246	0	0	0	0	0			
0	200	100	毒蜘蛛	55	4	20	0	246	0	0	0	0	0			
0	200	100	多钩猫	55	4	20	0	246	0	0	0	0	0			
0	200	100	钉耙猫	55	4	20	0	246	0	0	0	0	0			
0	200	100	蛤蟆	55	4	20	0	246	0	0	0	0	0			
0	200	100	稻草人	55	4	20	0	246	0	0	0	0	0			
0	300	100	半兽人	55	4	20	0	246	0	0	0	0	0			
0	300	100	食人花	55	4	20	0	246	0	0	0	0	0			
0	300	100	森林雪人	55	4	20	0	246	0	0	0	0	0			
0	300	100	毒蜘蛛	55	4	20	0	246	0	0	0	0	0			
0	300	100	多钩猫	55	4	20	0	246	0	0	0	0	0			
0	300	100	钉耙猫	55	4	20	0	246	0	0	0	0	0			
0	300	100	蛤蟆	55	4	20	0	246	0	0	0	0	0			
0	300	100	稻草人	55	4	20	0	246	0	0	0	0	0			
0	400	100	半兽人	55	4	20	0	246	0	0	0	0	0			
0	400	100	食人花	55	4	20	0	246	0	0	0	0	0			
0	400	100	森林雪人	55	4	20	0	246	0	0	0	0	0			
0	400	100	毒蜘蛛	55	4	20	0	246	0	0	0	0	0			
0	400	100	多钩猫	55	4	20	0	246	0	0	0	0	0			
0	400	100	钉耙猫	55	4	20	0	246	0	0	0	0	0			
0	400	100	蛤蟆	55	4	20	0	246	0	0	0	0	0			
0	400	100	稻草人	55	4	20	0	246	0	0	0	0	0			
																
0	100	200	半兽人	55	4	20	0	246	0	0	0	0	0			
0	100	200	食人花	55	4	20	0	246	0	0	0	0	0			
0	100	200	森林雪人	55	4	20	0	246	0	0	0	0	0			
0	100	200	毒蜘蛛	55	4	20	0	246	0	0	0	0	0			
0	100	200	多钩猫	55	4	20	0	246	0	0	0	0	0			
0	100	200	钉耙猫	55	4	20	0	246	0	0	0	0	0			
0	100	200	蛤蟆	55	4	20	0	246	0	0	0	0	0			
0	100	200	稻草人	55	4	20	0	246	0	0	0	0	0			
0	200	200	半兽人	55	4	20	0	246	0	0	0	0	0			
0	200	200	食人花	55	4	20	0	246	0	0	0	0	0			
